,ref,prd
0,['1_14.2.3.Guidance.10.'],"['1_14.2.3.Guidance.8.', '27_3.2.5', '1_4.5.4', '7_6.6.1', '7_APP2.A2.1.1', '27_3.2.7', '33_12)', '27_9.2', '1_9.3.2.(1)', '12_APP2.A2.5.Guidance.9.']"
1,['19_100)'],"['19_100)', '19_25)', '19_28)', '33_106)', '34_82)', '4_4.3.2.Guidance.2.', '22_2.2.(8)', '29_2.2', '26_4.8', '19_45)']"
2,['3_20.14.1.(2)'],"['3_20.14.1.(2)', '3_19.23.1.(2)', '3_20.14.1.(1)', '3_20.14.3.Guidance.2.', '3_20.14.2.(1)', '3_20.11.1', '3_20.14.1.(3)', '3_20.9.1', '21_35)', '19_83)']"
3,['13_4.15.16'],"['13_4.15.16', '13_APP4.A4.11.2', '13_APP4.A4.3.12', '13_APP4.A4.3.27', '13_APP4.A4.3.28', '20_2.1.', '40_5.2', '13_APP4.A4.3.7', '13_4.15.12', '13_3.21.6.Guidance.1.']"
4,['34_35)'],"['34_35)', '34_26)', '34_33)', '34_48)', '34_46)', '34_38)', '34_37)', '34_23)', '34_41)', '34_25)']"
5,['3_14.4.6.Guidance.4.'],"['3_14.4.5', '3_14.4.6.Guidance.4.', '13_3.7.1.Guidance.2.', '13_APP3.A3.2.Guidance.4.', '3_19.1.1.Guidance.4.', '3_15.6.1', '3_14.4.6.Guidance.2.', '19_144)', '13_3.7.1.Guidance.1.', '40_SECTION I.A.5.']"
6,['37_4.5.b.'],"['37_4.5.b.', '37_4.5.d.', '37_4.5.c.', '37_4.12.c.', '3_9.4.1', '37_4.5.a.', '13_APP2.A2.5.Guidance.5.', '37_4.6', '33_60)', '37_4.13.d.']"
7,['19_186)'],"['4_3.18.1', '19_186)', '13_3.6A.6.(1)', '33_64)', '19_162)', '33_2)', '13_3.6A.6.(2)', '22_2.2.(8)', '19_125)', '19_166).d)']"
8,['10_4.7.33'],"['10_4.7.33', '10_4.7.27.Guidance.1.', '10_4.7.1', '10_4.7.23', '6_PART 5.13.3.5', '10_4.7.26', '10_4.7.16', '10_4.7.18', '10_4.7.24', '10_4.10.2.Guidance']"
9,['14_Part 6.Chapter 5.68.(1)'],"['14_Part 5.Chapter 4.40.', '14_Part 5.Chapter 4.37.(1)', '14_Part 6.Chapter 5.68.(1)', '14_Part 5.Chapter 4.41.(3)', '14_Part 5.Chapter 4.41.(1)', '14_Part 5.Chapter 4.36.(1)', '14_Part 5.Chapter 4.41.(2)', '6_PART 5.13.4.9.(1)', '6_PART 5.13.4.8', '6_PART 5.13.4.9.(3)']"
10,"['9_APP 1.A1.2.2', '10_2.11.1']","['9_3.5.3', '9_6.2.1.(a)', '9_3.5.2', '9_6.2.2.(a)', '9_6.2.3.(b).Guidance.(i)', '9_3.5.4.Guidance', '9_7.3.1', '9_3.5.7', '9_6.2.6.(a)', '9_6.2.1.(c).Guidance.(i)']"
11,['11_12.13.1'],"['31_82)', '31_81)', '30_121)', '11_12.13.3', '30_122)', '11_12.13.1', '31_80)', '31_83)', '31_86)', '11_11.10.3']"
12,['6_PART 5.13A.2.1'],"['13_4.4.8', '13_4.3.2', '13_APP4.A4.1.Guidance.61.', '13_6.10.Guidance', '13_APP2.A2.1.6', '19_66)', '3_3.6.1', '6_PART 5.13A.2.1', '13_APP2.A2.2.3.Guidance.1.', '13_APP2.A2.3.2']"
13,['7_3.3.33.(1)'],"['7_3.3.33.(1)', '7_2.2.3', '7_3.3.33.(2).Guidance.2.', '14_Schedule.Part 4', '1_11.2.1.Guidance.2.', '13_4.3.1', '14_Schedule.Part 3', '1_8.4.1.Guidance.11.', '12_APP2.A2.3.Guidance.9.', '13_3.2.4']"
14,['3_17.1.3'],"['19_17)', '3_17.1.2', '19_102)', '10_6.5.10', '22_2.2.(2)', '34_20)', '33_5)', '10_2.5.3', '17_Part 8.96.(1)', '33_2)']"
15,['34_98)'],"['34_95)', '34_99)', '34_18)', '34_26)', '34_25)', '34_108)', '34_2)', '34_11)', '34_62)', '34_21)']"
16,['12_APP9.A9.4.1'],"['12_APP9.A9.4.1', '12_APP6.A6.11.1', '12_APP9.A9.2.1', '12_APP6.A6.11.Guidance.1.', '12_APP9.A9.4.Guidance', '12_APP4.A4.11.2', '12_APP9.A9.5.1', '12_APP9.A9.3.1', '13_3.1.1.Guidance.2.', '12_APP4.A4.11.Guidance']"
17,"['6_PART 5.13A.7.2', '32_1.4']","['14_Part 5.Chapter 4.38.(1)', '13_APP4.A4.6.7', '13_APP4.A4.6.6', '6_PART 8.20.4.8', '13_APP4.A4.6.Guidance.1.', '3_3.8.24', '13_4.15.8.(1)', '20_2.1.', '27_9.2', '20_2.3.(v)']"
18,"['29_3.7', '33_58)', '33_103)', '33_72)']","['33_62)', '33_64)', '33_132)', '33_65)', '33_71)', '33_14)', '29_5.1', '19_10)', '33_12)', '33_99)']"
19,['2_2.2.7'],"['12_7.3.6.Guidance.4.', '19_58)', '21_42)', '13_9.3.9.Guidance.1.', '21_28)', '1_4.4.1', '1_8.5.1.Guidance.2.', '7_8.12.2.(1)', '6_PART 5.12.2.2.(1)', '7_8.10.6']"
20,['19_76)'],"['19_76)', '19_45)', '19_94)', '19_169)', '29_4.4', '19_166).e)', '1_6.1.3.Guidance.6.', '19_133)', '19_146)', '19_12)']"
21,['17_Part 2.Chapter 1.5A.(1)'],"['22_5.2.(9)', '17_Part 2.Chapter 1.5A.(1)', '22_5.7.(3)', '22_5.6.(1)', '17_Part 2.Chapter 1.5A.(2)', '17_Part 2.Chapter 1.5A.', '34_99)', '22_5.1.(1)', '22_5.7.(14)', '22_9.(4)']"
22,['3_7.8.1'],"['3_7.8.1', '3_7.3.1.(c)', '2_8.1.3', '2_8.1', '3_7.7.4', '2_10.2.3.(1)', '3_7.11.7', '2_2.2.5', '2_8.3.4', '2_8.1.1']"
23,['13_APP10.A10.2.Guidance.4.'],"['13_APP10.A10.2.Guidance.4.', '13_4.14.43.(1)', '13_APP10.A10.2.15.Guidance.15.', '13_4.14.45.(2)', '34_50)', '13_APP10.A10.2.15', '32_2.3', '13_4.14.56.Guidance', '13_APP10.A10.2.18.Guidance .4.', '10_4.7.27.Guidance.2.']"
24,['30_26)'],"['30_26)', '30_56)', '30_30)', '30_23)', '30_24)', '30_55)', '30_29)', '30_28)', '31_27)', '30_62)']"
25,['19_63)'],"['27_6.1.4', '1_11.2.1.(5)', '1_3.1.1', '24_3.18', '17_Part 2.Chapter 4.15A.(2)', '11_12.2.2.Guidance', '14_Part 6.Chapter 1.42.(8)', '11_11.2.2.Guidance', '27_6.7.3', '33_114)']"
26,['3_19.23.2.(1)'],"['3_19.23.2.(1)', '3_20.14.2.(1)', '3_19.23.1.(2)', '3_20.14.1.(2)', '3_19.23.1.(3)', '3_19.23.2.(3)', '3_19.12.1.(b)', '3_19.23.1.(1)', '3_19.17.1', '3_19.10.2.(4)']"
